,Full_time,Part_time,Full_time_year_round,Unemployment_rate,College_jobs,Non_college_jobs,Low_wage_jobs
56,4.830138640997427e-44,1.4383631101048488e-44,3.51200541516343e-44,0.09679894300000001,1.7514779269908772e-44,2.474408585961425e-44,6.461386683717451e-45
57,1.455741211950887e-53,3.0783042426298754e-54,1.1747093028654536e-53,0.072861468,2.4916248628157274e-54,8.564567619232717e-54,2.3205560527758118e-54
58,3.956471319940101e-46,1.3817796356058128e-46,2.711299136061337e-46,0.113331949,2.190322451972452e-46,1.8580779658097375e-46,5.714767628740091e-47
59,1.0355714121985677e-43,2.883302514178099e-44,7.560856470205677e-44,0.096175064,1.9947264632851754e-44,5.590894568391972e-44,1.7960203390974418e-44
60,4.690859356592543e-43,2.0002659424378826e-43,3.4164662028433036e-43,0.055520827,4.330167929635917e-43,1.6811064121536483e-43,4.1943474026802597e-44
61,1.878500521149226e-41,9.132843334471925e-42,1.2302477197612184e-41,0.084361164,1.4375771915372477e-41,6.25768895139743e-42,2.324000221059523e-42
62,1.756598523301428e-42,4.424356951086956e-43,1.3981546312748645e-42,0.071982974,2.9390558950179535e-43,1.1747022600078468e-42,2.3107604040436328e-43
63,1.1173385861397848e-41,2.206741195397938e-42,9.137476179304851e-42,0.050030835999999995,1.9344156653647683e-42,6.251428495706089e-42,1.3686618889489948e-42
64,2.789269668513388e-40,7.464760438464477e-41,2.1640821989994505e-40,0.019642463,8.887144628363912e-41,1.7336915306862106e-40,3.0836701171204806e-41
65,1.6527699941868306e-39,2.927345797445608e-40,1.375144295977473e-39,0.05253852,5.77442566173545e-40,9.197531634554909e-40,9.112544175919395e-41
66,6.037609436840954e-37,3.571950972214886e-38,5.2162053266312135e-37,0.056357078,2.691255368134374e-37,3.0672502073148897e-37,5.871304027203418e-38
67,8.831124801796462e-35,4.185765364925351e-35,7.348563279390787e-35,0.034117647,8.277635166765011e-35,3.350589040636822e-35,9.933162200118013e-36
68,3.5197937707553234e-35,1.4624154604100218e-35,2.4669191338779865e-35,0.073079538,1.1995998925524325e-35,2.666852449303392e-35,9.238854011190106e-36
69,2.6689019367909564e-35,1.0647687707882135e-35,1.6168240929489672e-35,0.047179487,1.0165432483925612e-35,2.019126477144276e-35,3.832659937759717e-36
70,1.4073646511688404e-34,9.373870395558882e-35,1.2061902636842432e-34,0.10878661099999999,4.785382238463392e-35,1.047818937366582e-34,2.3284865274812927e-35
71,3.5479522136425802e-34,1.2093075164697085e-34,2.980357879299541e-34,0.077249576,1.0435153569537e-34,1.7417929229152413e-34,1.8334662346476228e-35
72,1.7152618410165757e-31,9.760018548492757e-32,1.458419247635187e-31,0.035353535,1.1837093434098766e-31,1.0385374428030047e-31,6.007883271268995e-32
74,1.1222527130063966e-47,4.2794956526751813e-48,8.495932229623965e-48,0.053972400000000004,8.630003778015221e-48,4.1806462907256945e-48,1.2180059311476952e-48
75,5.661407292748101e-34,7.898998021481309e-35,4.821966736458276e-34,0.029479502999999997,6.082503702952506e-35,4.5660061733928545e-34,2.2293339363762578e-35
76,3.520129183666185e-55,7.047115580101696e-56,2.7974209407144757e-55,0.07221834099999999,5.13871128346276e-56,2.07668589572292e-55,4.5334572992313765e-56
77,2.6138543876788337e-53,5.977722882537911e-54,2.1227097667958875e-53,0.061215064000000007,4.224397649553711e-54,1.5664473574997957e-53,4.666190895052061e-54
78,4.922232471138579e-52,1.827861111265396e-52,3.480676430584669e-52,0.101174601,1.541122220827135e-52,2.7995199793160633e-52,8.281012465143473e-53
79,2.6842735180388694e-42,1.334462008484002e-42,2.037469157529635e-42,0.113458628,1.263382011217379e-42,1.6128783432924674e-42,4.498584544615154e-43
80,1.059827649816652e-40,4.804988097048794e-41,7.223835316072175e-41,0.066775872,7.930576684593406e-41,4.51347505771911e-41,1.7718304731940807e-41
81,7.078228977653132e-39,1.1592583633300566e-39,5.5554361955312233e-39,0.099723375,2.649411832309663e-39,3.651101097711362e-39,3.4665201544238585e-40
82,6.450593473313486e-45,3.108584211234925e-45,4.3075827655683e-45,0.080531385,4.891614117679082e-45,2.622985109479891e-45,9.41199803401648e-46
83,8.479222367718439e-31,1.514787082605091e-31,6.632795509631759e-31,0.0,6.068111567595541e-31,1.6492356402327614e-31,5.01941281809971e-32
84,1.1668214909007267e-38,3.072594535638492e-39,9.277239479063284e-39,0.151849807,5.506038445688052e-39,6.244989999525089e-39,7.474452498581542e-40
85,5.4378508674752794e-40,2.273967783082901e-40,3.909382306103387e-40,0.075448568,3.792288187510035e-40,2.17951186075093e-40,7.486217315401655e-41
86,6.009565499609018e-44,1.2203791502440524e-44,5.003975671534279e-44,0.059569649,7.794617030759727e-45,3.1194666412795273e-44,6.174788055123875e-45
87,1.0232886116875637e-40,4.685673874687035e-41,6.999184619490789e-41,0.07196501599999999,2.6093794428716123e-41,8.412055406739952e-41,1.7413241436945426e-41
88,6.913555341722543e-41,3.8137725434442297e-41,5.399087402878346e-41,0.08141125,5.20034798927546e-41,3.5285446813289807e-41,1.3083678062189856e-41
89,6.458169106206466e-37,1.3187245016771644e-37,4.596074060154651e-37,0.15949059999999998,1.4308238689980097e-37,3.601192175182149e-37,7.722400859880443e-38
90,2.2721828889620675e-32,6.363550179529841e-33,1.8173867885606416e-32,0.024373731000000003,1.4093286273309028e-32,1.0623893096333722e-32,3.972724829593489e-33
91,3.5511500753159143e-31,1.8570627809321144e-31,2.268790325896279e-31,0.029649596,1.8613516095254913e-31,2.5432753558723877e-31,1.5868665795493817e-32
